Sep 19, 2019  07:01:52 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1981 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 20
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.72E-004 
Filament Current, 1.00, mAmps


 29.40,   2.57E-008, 
 29.45,   1.58E-008, 
 29.50,   9.24E-009, 
 29.55,   6.14E-009, 
 29.60,   4.33E-009, 
 29.65,   3.32E-009, 
 29.70,   2.85E-009, 
 29.75,   2.62E-009, 
 29.80,   2.80E-009, 
 29.85,   3.27E-009, 
 29.90,   3.73E-009, 
 29.95,   4.44E-009, 
 30.00,   5.21E-009, 
 30.05,   5.78E-009, 
 30.10,   5.97E-009, 
 30.15,   6.18E-009, 
 30.20,   6.53E-009, 
 30.25,   6.42E-009, 
 30.30,   6.26E-009, 
 30.35,   5.94E-009, 
 30.40,   5.10E-009, 
 30.45,   3.79E-009, 
 30.50,   2.71E-009, 
 30.55,   1.97E-009, 
 30.60,   1.57E-009, 
 30.65,   1.27E-009, 
 30.70,   1.11E-009, 
 30.75,   1.05E-009, 
 30.80,   1.12E-009, 
 30.85,   1.38E-009, 
 30.90,   1.59E-009, 
 30.95,   1.95E-009, 
 31.00,   2.28E-009, 
 31.05,   2.59E-009, 
 31.10,   2.84E-009, 
 31.15,   2.90E-009, 
 31.20,   3.27E-009, 
 31.25,   3.28E-009, 
 31.30,   3.16E-009, 
 31.35,   3.06E-009, 
 31.40,   2.74E-009, 
 31.45,   2.24E-009, 
 31.50,   1.74E-009, 
 31.55,   1.33E-009, 
 31.60,   1.32E-009, 
 31.65,   1.39E-009, 
 31.70,   1.60E-009, 
 31.75,   2.02E-009, 
 31.80,   2.67E-009, 
 31.85,   3.65E-009, 
 31.90,   4.60E-009, 
