Sep 19, 2019  03:25:17 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.72E-004 
Filament Current, 1.00, mAmps


 50.10,   5.58E-010, 
 50.20,   7.78E-010, 
 50.30,   9.10E-010, 
 50.40,   9.65E-010, 
 50.50,   1.02E-009, 
 50.60,   8.98E-010, 
 50.70,   6.52E-010, 
 50.80,   4.63E-010, 
 50.90,   3.99E-010, 
 51.00,   4.13E-010, 
 51.10,   6.67E-010, 
 51.20,   1.04E-009, 
 51.30,   1.29E-009, 
 51.40,   1.49E-009, 
 51.50,   1.49E-009, 
 51.60,   1.18E-009, 
 51.70,   8.03E-010, 
 51.80,   4.84E-010, 
 51.90,   3.35E-010, 
 52.00,   3.01E-010, 
 52.10,   2.46E-010, 
 52.20,   4.63E-010, 
 52.30,   6.24E-010, 
 52.40,   7.28E-010, 
 52.50,   6.87E-010, 
 52.60,   5.88E-010, 
 52.70,   3.69E-010, 
 52.80,   2.57E-010, 
 52.90,   2.60E-010, 
 53.00,   4.95E-010, 
 53.10,   8.13E-010, 
 53.20,   1.32E-009, 
 53.30,   1.75E-009, 
 53.40,   1.95E-009, 
 53.50,   2.05E-009, 
 53.60,   1.84E-009, 
 53.70,   1.18E-009, 
 53.80,   8.12E-010, 
 53.90,   6.98E-010, 
 54.00,   6.51E-010, 
 54.10,   7.47E-010, 
 54.20,   1.06E-009, 
 54.30,   1.30E-009, 
 54.40,   1.50E-009, 
 54.50,   1.63E-009, 
 54.60,   1.41E-009, 
 54.70,   1.10E-009, 
 54.80,   9.20E-010, 
 54.90,   1.29E-009, 
 55.00,   2.12E-009, 
 55.10,   3.76E-009, 
 55.20,   6.11E-009, 
 55.30,   8.70E-009, 
 55.40,   9.87E-009, 
 55.50,   1.04E-008, 
 55.60,   8.70E-009, 
 55.70,   5.57E-009, 
 55.80,   3.10E-009, 
 55.90,   2.09E-009, 
 56.00,   1.82E-009, 
 56.10,   2.39E-009, 
 56.20,   3.47E-009, 
 56.30,   4.99E-009, 
 56.40,   6.06E-009, 
 56.50,   6.45E-009, 
 56.60,   5.65E-009, 
 56.70,   4.00E-009, 
 56.80,   2.34E-009, 
 56.90,   1.91E-009, 
 57.00,   1.90E-009, 
 57.10,   2.67E-009, 
 57.20,   4.00E-009, 
 57.30,   5.80E-009, 
 57.40,   6.77E-009, 
 57.50,   7.48E-009, 
 57.60,   6.72E-009, 
 57.70,   4.70E-009, 
 57.80,   2.53E-009, 
 57.90,   1.49E-009, 
 58.00,   1.02E-009, 
 58.10,   7.90E-010, 
 58.20,   8.27E-010, 
 58.30,   1.05E-009, 
 58.40,   1.26E-009, 
 58.50,   1.37E-009, 
 58.60,   1.17E-009, 
 58.70,   9.33E-010, 
 58.80,   4.80E-010, 
 58.90,   4.01E-010, 
 59.00,   4.17E-010, 
 59.10,   5.09E-010, 
 59.20,   7.06E-010, 
 59.30,   1.02E-009, 
 59.40,   1.21E-009, 
 59.50,   1.39E-009, 
 59.60,   1.27E-009, 
 59.70,   9.97E-010, 
 59.80,   7.14E-010, 
 59.90,   5.26E-010, 
 60.00,   3.97E-010, 
 60.10,   4.10E-010, 
 60.20,   6.02E-010, 
 60.30,   8.53E-010, 
 60.40,   9.87E-010, 
 60.50,   9.78E-010, 
 60.60,   9.73E-010, 
 60.70,   7.97E-010, 
 60.80,   4.97E-010, 
 60.90,   2.20E-010, 
 61.00,   9.01E-011, 
 61.10,   9.88E-011, 
 61.20,   1.45E-010, 
 61.30,   2.09E-010, 
 61.40,   3.21E-010, 
 61.50,   3.80E-010, 
 61.60,   3.09E-010, 
 61.70,   2.16E-010, 
 61.80,   1.00E-010, 
 61.90,   3.55E-011, 
 62.00,   8.90E-011, 
 62.10,   1.45E-010, 
 62.20,   1.73E-010, 
 62.30,   1.62E-010, 
 62.40,   1.19E-010, 
 62.50,   1.98E-010, 
 62.60,   1.82E-010, 
 62.70,   1.28E-010, 
 62.80,   1.28E-010, 
 62.90,   6.45E-011, 
 63.00,  -8.02E-011, 
 63.10,  -1.56E-010, 
 63.20,  -1.16E-011, 
 63.30,   1.78E-010, 
 63.40,   2.78E-010, 
 63.50,   3.07E-010, 
 63.60,   3.05E-010, 
 63.70,   3.26E-010, 
 63.80,   2.32E-010, 
 63.90,   2.22E-010, 
 64.00,   1.83E-010, 
 64.10,   1.95E-010, 
 64.20,   2.19E-010, 
 64.30,   3.07E-010, 
 64.40,   3.32E-010, 
 64.50,   4.10E-010, 
 64.60,   4.30E-010, 
 64.70,   2.96E-010, 
 64.80,   2.36E-010, 
 64.90,   2.08E-010, 
 65.00,   2.29E-010, 
